"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K"
"175","3602_SL3a",36.1597309,"SL3a","DLAB",36,"shallow","SL3","GP",0.443481418,0.367057847159576,309.3097309
"176","3603_MA2a",36.85164852,"MA2a","PAST",36,"deep","MA2","GP",0.004114508,0.00410606655895491,310.00164852
"177","3603_MC1a",36.65033847,"MC1a","MCAV",36,"deep","MC1","GP",0.047415093,0.0463253127269663,309.80033847
"178","3603_MF2a",36.78728746,"MF2a","OFRA",36,"deep","MF2","GP",0.16297569,0.150981970480571,309.93728746
"179","3603_ML3a",36.80486897,"ML3a","DLAB",36,"deep","ML3","GP",0.176430818,0.162485124226383,309.95486897
"180","3603_SA2a",36.78332632,"SA2a","PAST",36,"shallow","SA2","GP",0.144828445,0.13525479608629,309.93332632
"181","3603_SC2a",36.71211758,"SC2a","MCAV",36,"shallow","SC2","GP",0.055108752,0.0536438440798526,309.86211758
"182","3603_SF2a",36.65934967,"SF2a","OFRA",36,"shallow","SF2","GP",0.21337129,0.193402675458271,309.80934967
"183","3603_SL2a",36.71239797,"SL2a","DLAB",36,"shallow","SL2","GP",0.186004064,0.170589727213845,309.86239797
"184","1901_MA1hD",19.4234861,"MA1h","PAST",19,"deep","MA1","R",0.412524041,0.345378204070608,292.5734861
"185","1901_MC1hD",19.2924735,"MC1h","MCAV",19,"deep","MC1","R",0.347138089,0.297982408135221,292.4424735
"186","1901_MF2hD",19.43796389,"MF2h","OFRA",19,"deep","MF2","R",0.53935115,0.43136099647179,292.58796389
"187","1901_ML2hD",19.3338109,"ML2h","DLAB",19,"deep","ML2","R",0.544479138,0.434686726001365,292.4838109
"188","1901_SA2hD",19.35084681,"SA2h","PAST",19,"shallow","SA2","R",0.29901642,0.261607378101259,292.50084681
"189","1901_SC1hD",19.41561569,"SC1h","MCAV",19,"shallow","SC1","R",0.266605679,0.236340628747176,292.56561569
"190","1901_SF3hD",19.49304113,"SF3h","OFRA",19,"shallow","SF3","R",0.843830738,0.611845330248929,292.64304113
"191","1901_SL3hD",19.21579877,"SL3h","DLAB",19,"shallow","SL3","R",0.483027135,0.394085360358596,292.36579877
"192","1902_MA3hD",19.49327482,"MA3h","PAST",19,"deep","MA3","R",0.433613554,0.360198217713925,292.64327482
"193","1902_MC3hD",19.40445154,"MC3h","MCAV",19,"deep","MC3","R",0.351268951,0.301044114664794,292.55445154
"194","1902_MF1hD",19.34797764,"MF1h","OFRA",19,"deep","MF1","R",0.541404883,0.43269426225605,292.49797764
"195","1902_ML3hD",19.54590947,"ML3h","DLAB",19,"deep","ML3","R",0.578304758,0.456351333054191,292.69590947
"196","1902_SA1hD",19.39714472,"SA1h","PAST",19,"shallow","SA1","R",0.504518696,0.408473043730592,292.54714472
"197","1902_SC3hD",19.30810707,"SC3h","MCAV",19,"shallow","SC3","R",0.272552236,0.241024518501785,292.45810707
"198","1902_SF2hD",19.51943971,"SF2h","OFRA",19,"shallow","SF2","R",0.521763825,0.419870073285737,292.66943971
"199","1902_SL2hD",19.43234687,"SL2h","DLAB",19,"shallow","SL2","R",0.507843393,0.410680413397141,292.58234687
"200","1903_MA2hD",19.52287042,"MA2h","PAST",19,"deep","MA2","R",0.314416364,0.273392737450398,292.67287042
"201","1903_MC2hD",19.34257855,"MC2h","MCAV",19,"deep","MC2","R",0.330866505,0.285830237613571,292.49257855
