"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species","group","term","estimate","std.error","statistic","p.value","fragment.ID2"
"444",300.20139718996,1.12134912168902,1.26655147535001,1.22668110281781,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"445",300.271566051687,1.12221997701285,1.267034582258,1.22759145784249,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"446",300.271566051687,1.12221997701285,1.267034582258,1.22759145784249,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"447",300.271566051687,1.12221997701285,1.267034582258,1.22759145784249,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"448",300.271566051687,1.12221997701285,1.267034582258,1.22759145784249,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"449",300.341734913414,1.12308406716947,1.26747358856453,1.22847836981748,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"450",300.341734913414,1.12308406716947,1.26747358856453,1.22847836981748,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"451",300.341734913414,1.12308406716947,1.26747358856453,1.22847836981748,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"452",300.341734913414,1.12308406716947,1.26747358856453,1.22847836981748,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"453",300.411903775141,1.12394106241593,1.26786725132924,1.22934096311636,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"454",300.411903775141,1.12394106241593,1.26786725132924,1.22934096311636,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"455",300.411903775141,1.12394106241593,1.26786725132924,1.22934096311636,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"456",300.411903775141,1.12394106241593,1.26786725132924,1.22934096311636,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"457",300.482072636867,1.12479061597852,1.26821429644903,1.23017832999124,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"458",300.482072636867,1.12479061597852,1.26821429644903,1.23017832999124,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"459",300.482072636867,1.12479061597852,1.26821429644903,1.23017832999124,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"460",300.482072636867,1.12479061597852,1.26821429644903,1.23017832999124,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"461",300.552241498594,1.12563236319264,1.26851341814274,1.23098952950644,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"462",300.552241498594,1.12563236319264,1.26851341814274,1.23098952950644,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"463",300.552241498594,1.12563236319264,1.26851341814274,1.23098952950644,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"464",300.552241498594,1.12563236319264,1.26851341814274,1.23098952950644,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"465",300.622410360321,1.12646592060071,1.26876327844397,1.23177358644488,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"466",300.622410360321,1.12646592060071,1.26876327844397,1.23177358644488,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"467",300.622410360321,1.12646592060071,1.26876327844397,1.23177358644488,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"468",300.622410360321,1.12646592060071,1.26876327844397,1.23177358644488,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"469",300.692579222048,1.12729088500628,1.268962506703,1.23252949018733,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"470",300.692579222048,1.12729088500628,1.268962506703,1.23252949018733,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"471",300.692579222048,1.12729088500628,1.268962506703,1.23252949018733,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"472",300.692579222048,1.12729088500628,1.268962506703,1.23252949018733,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"473",300.762748083775,1.12810683248232,1.26910969909939,1.2332561935645,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"474",300.762748083775,1.12810683248232,1.26910969909939,1.2332561935645,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"475",300.762748083775,1.12810683248232,1.26910969909939,1.2332561935645,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"476",300.762748083775,1.12810683248232,1.26910969909939,1.2332561935645,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"477",300.832916945502,1.12891331733175,1.26920341816667,1.23395261168203,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"478",300.832916945502,1.12891331733175,1.26920341816667,1.23395261168203,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"479",300.832916945502,1.12891331733175,1.26920341816667,1.23395261168203,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"480",300.832916945502,1.12891331733175,1.26920341816667,1.23395261168203,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"481",300.903085807229,1.12970987099789,1.26924219233058,1.23461762071864,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
